,id
Soda Beņķa Sildītāji,index.php?p=public_team_info_basic.php&team_id=28975
Arch Enemy,index.php?p=public_team_info_basic.php&team_id=14171
HC Vilkatis,index.php?p=public_team_info_basic.php&team_id=23881
JOKISS,index.php?p=public_team_info_basic.php&team_id=4522
Ergli Elite: Revolution,index.php?p=public_team_info_basic.php&team_id=2094
HC Jelgava Stars,index.php?p=public_team_info_basic.php&team_id=42152
Patria,index.php?p=public_team_info_basic.php&team_id=19656
HC Skonto,index.php?p=public_team_info_basic.php&team_id=14179
Traveling Wilburys,index.php?p=public_team_info_basic.php&team_id=20409
LATGALE,index.php?p=public_team_info_basic.php&team_id=28914
Rockets,index.php?p=public_team_info_basic.php&team_id=18668
Kadri,index.php?p=public_team_info_basic.php&team_id=2145
Refleks,index.php?p=public_team_info_basic.php&team_id=23119
The BDM team,index.php?p=public_team_info_basic.php&team_id=4580
hk DEMONS,index.php?p=public_team_info_basic.php&team_id=48520
Löfbergs Lila,index.php?p=public_team_info_basic.php&team_id=10729
