,index,Name,Age,AI,GP,Sho,Goa,Ass,+/-,PIM,SA,GA,SV%
0,Juraj Olša,Arch Enemy,33,400,9,12,0,4,3,8,0,0,0
1,Kimmo Ahomaa,Arch Enemy,32,474,9,16,1,5,11,2,0,0,0
2,Antyp Khrol,Arch Enemy,32,392,8,19,1,1,10,12,0,0,0
3,Sviatamir Salaujou,Arch Enemy,33,426,3,13,0,4,7,4,0,0,0
4,Tymoteusz Czubacki,Arch Enemy,31,403,17,36,0,6,30,14,0,0,0
5,Mattia Mantegazza,Arch Enemy,33,378,17,32,6,4,10,2,0,0,0
6,Bodo Herrmann,Arch Enemy,34,407,17,23,1,3,18,4,0,0,0
7,Bruce De Knegt,Arch Enemy,31,429,17,82,15,10,18,36,0,0,0
8,Barys  Machayla,Arch Enemy,31,398,17,19,2,4,10,12,0,0,0
9,Miloslav Beneš,Arch Enemy,34,411,17,60,10,4,18,10,0,0,0
10,Noah Winther,Arch Enemy,34,453,17,59,15,5,25,8,0,0,0
11,Arthur Wiegand,Arch Enemy,35,393,17,42,15,6,25,4,0,0,0
12,Daniel Víšek,Arch Enemy,31,401,17,0,0,0,0,0,276,29,89.5
13,Tsukasa Ina,Arch Enemy,32,364,16,45,3,11,15,10,0,0,0
14,Usiaslau Tsybul'ka ,Arch Enemy,31,408,16,52,0,8,20,2,0,0,0
15,Antonín Říha,Arch Enemy,32,377,16,80,17,5,15,6,0,0,0
16,Remie Tessier,Arch Enemy,29,375,15,30,1,11,11,6,0,0,0
17,Niko Korpisalo,Arch Enemy,31,414,14,54,5,16,22,0,0,0,0
18,Samo Fajdiga,Arch Enemy,32,353,1,3,1,0,0,0,0,0,0
19,Alexander Hobor,Arch Enemy,28,372,1,3,0,1,1,0,0,0,0
20,Jan Yakir,Arch Enemy,31,386,1,1,0,4,8,0,0,0,0
21,Vladimir Draganić,Arch Enemy,33,357,0,0,0,0,0,0,0,0,0
22,Didzis Barovskis ,Ergli Elite: Revolution,20,143,6,3,0,0,1,2,0,0,0
23,Uģis Hromčenkovs,Ergli Elite: Revolution,19,99,4,0,0,0,0,0,47,8,83
24,Ādams Štāls,Ergli Elite: Revolution,18,88,2,1,0,0,-1,0,0,0,0
25,Goran Stefanović,Ergli Elite: Revolution,32,375,17,32,3,19,14,0,0,0,0
26,David Malina,Ergli Elite: Revolution,32,349,17,26,2,25,16,6,0,0,0
27,Miloš Ladický,Ergli Elite: Revolution,31,350,17,31,5,1,-1,26,0,0,0
28,Alan Gronský,Ergli Elite: Revolution,31,367,17,25,8,5,13,24,0,0,0
29,Ervīns Lācplēsējs,Ergli Elite: Revolution,23,254,17,19,1,2,-6,4,0,0,0
30,Vyacheslav Petrenko,Ergli Elite: Revolution,32,351,17,14,0,3,17,0,0,0,0
31,Žanis Griezis,Ergli Elite: Revolution,23,249,17,13,2,2,-3,6,0,0,0
32,Juraj Havlice,Ergli Elite: Revolution,30,427,17,51,7,8,13,22,0,0,0
33,Ben Hiller,Ergli Elite: Revolution,31,323,17,14,0,3,-2,0,0,0,0
34,Constantin Jean,Ergli Elite: Revolution,28,372,17,26,1,3,5,6,0,0,0
35,Mato Scoria,Ergli Elite: Revolution,33,369,16,39,7,4,19,6,0,0,0
36,Kauko Ikänen,Ergli Elite: Revolution,32,378,16,59,13,2,13,24,0,0,0
37,Drahoslav Doležel,Ergli Elite: Revolution,34,332,16,19,0,2,-4,4,0,0,0
38,Aleksandrs Bērziņš,Ergli Elite: Revolution,19,129,16,5,2,1,-3,2,0,0,0
39,Antonín Trávníček,Ergli Elite: Revolution,30,417,15,0,0,0,0,0,362,34,90.6
40,Grigoriy Tsemnoluskiy,Ergli Elite: Revolution,31,380,15,41,10,6,12,8,0,0,0
41,Kaspars Deglis,Ergli Elite: Revolution,21,202,14,2,1,1,-3,0,0,0,0
42,Matti Nuutinen,Ergli Elite: Revolution,29,400,14,28,4,13,10,4,0,0,0
43,Verners Miltiņš,Ergli Elite: Revolution,22,247,13,2,0,1,-3,2,0,0,0
44,Igor Trefolyev,Ergli Elite: Revolution,33,344,13,29,7,1,-2,12,0,0,0
45,Bernard Antoszczak,Ergli Elite: Revolution,28,402,12,42,10,9,13,2,0,0,0
46,Ervīns Daugavietis,Ergli Elite: Revolution,18,94,1,0,0,0,0,0,26,6,76.9
47,Mintauts Žagars,Ergli Elite: Revolution,17,62,0,0,0,0,0,,0,0,0
48,Gaidis Bulders,Ergli Elite: Revolution,17,63,0,0,0,0,0,,0,0,0
49,Māris Isakovs,Ergli Elite: Revolution,18,67,0,0,0,0,0,,0,0,0
